track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals
KSJT20250204-5,KSJT20250205_010515_V06,6,1.802,1.200,420,0,0.135
KSJT20250204-5,KSJT20250205_010515_V06,7,2.417,1.200,421,0,0.135
KSJT20250204-5,KSJT20250205_010515_V06,8,3.120,1.200,421,0,0.135
KSJT20250204-5,KSJT20250205_010515_V06,9,3.999,1.200,421,0,0.135
KSJT20250205-1,KSJT20250206_002310_V06,0,0.483,1.200,6272,0,23485.973
KSJT20250205-1,KSJT20250206_002310_V06,2,0.879,1.200,6275,0,6818.443
KSJT20250205-1,KSJT20250206_002310_V06,4,1.318,1.200,6280,0,303.752
KSJT20250205-1,KSJT20250206_002310_V06,6,1.802,1.200,3142,0,2.949
KSJT20250205-1,KSJT20250206_002310_V06,7,2.417,1.200,3141,0,2.842
KSJT20250205-1,KSJT20250206_002310_V06,8,3.120,1.200,3139,0,2.030
KSJT20250205-1,KSJT20250206_002310_V06,9,3.999,1.200,3140,0,3.068
KSJT20250205-1,KSJT20250206_002310_V06,10,5.098,1.200,3147,0,1.742
KSJT20250205-1,KSJT20250206_002310_V06,11,6.416,1.200,3152,0,1.721
KSJT20250205-1,KSJT20250206_003004_V06,0,0.483,1.200,14196,27,35267.041
KSJT20250205-1,KSJT20250206_003004_V06,2,0.879,1.200,14195,3,19367.740
KSJT20250205-1,KSJT20250206_003004_V06,4,1.318,1.200,14199,0,350.696
KSJT20250205-1,KSJT20250206_003004_V06,6,1.802,1.200,7106,0,15.864
