track_id,filename,from_sunset,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels
6,KSJT20240705_020518_V06,15.089,0.297,280.900,365.570,14.136,-100.592,31.075,7068.052,34147.526,20240704_210518,479193,488
7,KSJT20240705_020518_V06,15.089,0.054,285.744,248.782,11.997,-100.567,31.602,5998.268,26582.313,20240704_210518,479193,488
12,KSJT20240705_030834_V06,78.356,0.052,413.729,322.587,14.938,-99.895,31.268,7468.826,57975.167,20240704_220834,479186,181
13,KSJT20240705_034700_V06,116.789,0.161,413.223,319.174,17.115,-99.898,31.283,8557.495,57417.399,20240704_224700,479194,359
17,KSJT20240705_040812_V06,137.989,0.211,140.738,219.798,131.160,-101.332,31.730,65580.078,89158.322,20240704_230812,479183,304
18,KSJT20240706_013944_V06,-10.348,0.752,520.549,462.860,10.185,-99.342,30.631,5092.610,137081.545,20240705_203944,479183,243
18,KSJT20240706_014256_V06,-7.148,0.472,520.646,462.925,14.912,-99.341,30.631,7456.021,137139.873,20240705_204256,479178,245
18,KSJT20240706_014609_V06,-3.931,0.423,521.230,464.460,15.990,-99.339,30.624,7994.777,137831.085,20240705_204609,479182,306
18,KSJT20240706_014923_V06,-0.698,0.394,522.725,464.495,19.910,-99.331,30.624,9954.779,138442.072,20240705_204923,479186,349
18,KSJT20240706_015236_V06,2.519,0.426,523.450,464.269,22.146,-99.327,30.625,11073.134,138667.136,20240705_205236,479184,389
18,KSJT20240706_015550_V06,5.752,0.284,526.022,464.976,25.728,-99.314,30.622,12864.061,139913.174,20240705_205550,479200,363
6,KSJT20240706_005220_V06,-57.748,0.068,213.465,349.053,22.483,-100.946,31.149,11241.386,49735.570,20240705_195220,479185,187
6,KSJT20240706_005558_V06,-54.114,0.129,213.102,350.240,28.011,-100.948,31.144,14005.629,50187.885,20240705_195558,479179,173
6,KSJT20240706_010303_V06,-47.031,0.209,218.901,348.397,23.549,-100.917,31.152,11774.618,47220.946,20240705_200303,479193,127
22,KSJT20240706_021156_V06,21.852,0.154,402.041,271.470,6.083,-99.955,31.499,3041.733,52977.200,20240705_211156,479196,268
